prod_category,sales,ad_expense,media,season,age,sex
air cleaner,20600,900,TV,spring,young,male
hair dryer,16500,240,onlline,spring,young,female
electric toothbrush,16000,48,radio,spring,young,male
air cleaner,18600,75,printing,spring,young,female
hair dryer,24900,1350,TV,summer,middle,female
electric toothbrush,21100,210,onlline,summer,middle,female
air cleaner,8600,24,radio,summer,middle,male
hair dryer,14200,240,printing,summer,middle,female
electric toothbrush,12300,90,TV,fall,senior,male
air cleaner,8500,6,onlline,fall,senior,female
hair dryer,16300,80,radio,fall,senior,male
electric toothbrush,16800,20,printing,fall,senior,female
air cleaner,15400,350,TV,winter,senior,male
hair dryer,19800,24,onlline,winter,young,female
electric toothbrush,16700,54,radio,winter,young,male
air cleaner,14300,189,printing,winter,young,female
hair dryer,11000,180,TV,spring,young,male
electric toothbrush,19000,24,onlline,spring,middle,female
air cleaner,19100,80,radio,spring,middle,male
hair dryer,14600,30,printing,spring,middle,male
electric toothbrush,8900,600,TV,summer,middle,male
air cleaner,8000,96,onlline,summer,senior,female
hair dryer,8400,21,radio,summer,senior,male
electric toothbrush,11500,270,printing,summer,senior,female
air cleaner,13900,300,TV,fall,senior,male
hair dryer,19300,70,onlline,fall,senior,female
electric toothbrush,7000,150,radio,fall,young,male
air cleaner,12000,168,printing,fall,young,female
hair dryer,18300,940,TV,winter,young,female
electric toothbrush,10700,36,onlline,winter,young,female
air cleaner,17300,80,radio,winter,middle,male
hair dryer,14400,80,printing,winter,middle,female
electric toothbrush,10100,60,TV,spring,middle,male
air cleaner,22700,8,onlline,spring,middle,female
hair dryer,15500,100,radio,spring,senior,male
electric toothbrush,17900,24,printing,spring,senior,female
air cleaner,19300,300,TV,summer,senior,male
hair dryer,12700,144,onlline,summer,senior,female
electric toothbrush,16100,30,radio,summer,senior,male
air cleaner,12300,270,printing,summer,young,female
hair dryer,22600,1350,TV,fall,young,male
electric toothbrush,13200,105,onlline,fall,young,female
air cleaner,11600,54,radio,fall,young,male
hair dryer,14000,60,printing,fall,middle,male
electric toothbrush,17800,120,TV,winter,middle,male
air cleaner,8600,50,onlline,winter,middle,female
hair dryer,18300,4,radio,winter,middle,male
electric toothbrush,15700,120,printing,winter,senior,female
air cleaner,7700,40,TV,spring,senior,male
hair dryer,13800,64,onlline,spring,senior,female
electric toothbrush,17800,42,radio,spring,senior,male
air cleaner,12800,24,printing,spring,senior,female
hair dryer,16400,810,TV,summer,young,female
electric toothbrush,10300,288,onlline,summer,young,female
air cleaner,23600,90,radio,summer,young,male
hair dryer,14700,200,printing,summer,young,female
electric toothbrush,12200,80,TV,fall,middle,male
air cleaner,14200,60,onlline,fall,middle,female
hair dryer,9400,42,radio,fall,middle,male
electric toothbrush,11600,24,printing,fall,middle,female
air cleaner,10600,450,TV,winter,senior,male
hair dryer,20300,80,onlline,winter,senior,female
electric toothbrush,16200,18,radio,winter,senior,male
air cleaner,17900,112,printing,winter,senior,female
hair dryer,9200,120,TV,spring,senior,male
electric toothbrush,9100,48,onlline,spring,young,female
air cleaner,26700,12,radio,spring,young,male
hair dryer,13500,90,printing,spring,young,male
electric toothbrush,16800,900,TV,summer,young,male
air cleaner,12600,36,onlline,summer,middle,female
hair dryer,13700,150,radio,summer,middle,male
electric toothbrush,10200,144,printing,summer,middle,female
air cleaner,14900,160,TV,fall,middle,male
hair dryer,12800,2,onlline,fall,senior,female
electric toothbrush,9000,48,radio,fall,senior,male
air cleaner,11200,32,printing,fall,senior,female
hair dryer,8900,180,TV,winter,senior,female
electric toothbrush,6300,80,onlline,winter,senior,female
air cleaner,12100,42,radio,winter,young,male
hair dryer,14500,96,printing,winter,young,female
electric toothbrush,7700,60,TV,spring,young,male
air cleaner,14000,120,onlline,spring,young,female
hair dryer,16300,36,radio,spring,middle,male
electric toothbrush,10500,80,printing,spring,middle,female
air cleaner,12700,600,TV,summer,middle,male
hair dryer,5800,48,onlline,summer,middle,female
electric toothbrush,4000,105,radio,summer,senior,male
air cleaner,16800,120,printing,summer,senior,female
hair dryer,18100,1100,TV,fall,young,male
electric toothbrush,2600,32,onlline,fall,senior,female
air cleaner,5500,90,radio,fall,senior,male
hair dryer,14300,147,printing,fall,young,male
electric toothbrush,9100,150,TV,winter,young,male
air cleaner,4600,30,onlline,winter,young,female
hair dryer,7000,90,radio,winter,young,male
electric toothbrush,13800,160,printing,winter,middle,female
air cleaner,3800,150,TV,spring,middle,male
hair dryer,7200,64,onlline,spring,middle,female
electric toothbrush,12500,8,radio,spring,middle,male
air cleaner,10100,12,printing,spring,senior,female
hair dryer,8900,135,TV,summer,senior,female
electric toothbrush,9200,15,onlline,summer,senior,female
air cleaner,26200,189,radio,summer,senior,male
hair dryer,14000,81,printing,summer,senior,female
electric toothbrush,8700,120,TV,fall,young,male
air cleaner,10800,162,onlline,fall,young,female
hair dryer,8800,18,radio,fall,young,male
electric toothbrush,13200,15,printing,fall,young,female
air cleaner,9300,120,TV,winter,middle,male
hair dryer,21300,160,onlline,winter,middle,female
electric toothbrush,13300,160,radio,winter,middle,male
air cleaner,12400,12,printing,winter,middle,female
hair dryer,9800,210,TV,spring,senior,male
electric toothbrush,12200,32,onlline,spring,senior,female
air cleaner,12200,40,radio,spring,senior,male
hair dryer,14400,48,printing,spring,senior,male
electric toothbrush,11000,450,TV,summer,senior,male
air cleaner,15500,54,onlline,summer,young,female
hair dryer,6800,324,radio,summer,young,male
electric toothbrush,12300,202.5,printing,summer,young,female
air cleaner,18400,30,TV,fall,young,male
hair dryer,18400,60,onlline,fall,middle,female
electric toothbrush,14600,36,radio,fall,middle,male
air cleaner,14800,30,printing,fall,middle,female
hair dryer,10100,120,TV,winter,middle,female
electric toothbrush,3300,48,onlline,winter,senior,female
air cleaner,13400,30,radio,winter,senior,male
hair dryer,14100,126,printing,winter,senior,female
electric toothbrush,6700,40,TV,spring,senior,male
air cleaner,3400,4,onlline,spring,senior,female
hair dryer,4400,6,radio,spring,young,male
electric toothbrush,18600,54,printing,spring,young,female
air cleaner,15100,720,TV,summer,young,male
hair dryer,4200,162,onlline,summer,young,female
electric toothbrush,7900,162,radio,summer,middle,male
air cleaner,13800,135,printing,summer,middle,female
hair dryer,14900,810,TV,fall,middle,male
electric toothbrush,5900,128,onlline,fall,middle,female
air cleaner,4700,12,radio,fall,senior,male
hair dryer,15000,12,printing,fall,senior,male
electric toothbrush,5300,630,TV,winter,senior,male
air cleaner,5500,160,onlline,winter,senior,female
hair dryer,5400,32,radio,winter,senior,male
electric toothbrush,17100,30,printing,winter,young,female
air cleaner,7500,720,TV,spring,young,male
hair dryer,4600,90,onlline,spring,young,female
electric toothbrush,4100,3,radio,spring,young,male
air cleaner,14700,12,printing,spring,middle,female
hair dryer,11200,60,TV,summer,middle,female
electric toothbrush,12000,147,onlline,summer,middle,female
air cleaner,17300,189,radio,summer,middle,male
hair dryer,14600,9,printing,summer,senior,female
electric toothbrush,7900,300,TV,fall,senior,male
air cleaner,5600,128,onlline,fall,senior,female
hair dryer,8300,96,radio,fall,senior,male
electric toothbrush,14100,48,printing,fall,senior,female
air cleaner,2700,15,TV,winter,young,male
hair dryer,12600,9,onlline,winter,young,female
electric toothbrush,13200,108,radio,winter,young,male
air cleaner,17100,48,printing,winter,young,female
hair dryer,18600,450,TV,spring,middle,male
electric toothbrush,26600,16,onlline,spring,middle,female
air cleaner,44700,12,radio,spring,middle,male
hair dryer,13200,180,printing,spring,middle,male
electric toothbrush,23600,75,TV,summer,senior,male
air cleaner,17000,42,onlline,summer,senior,female
hair dryer,27700,120,radio,summer,senior,male
electric toothbrush,13900,36,printing,summer,senior,female
air cleaner,13100,540,TV,fall,senior,male
hair dryer,25400,90,onlline,fall,young,female
electric toothbrush,9600,144,radio,fall,young,male
air cleaner,13100,270,printing,fall,young,female
hair dryer,11900,300,TV,winter,young,female
electric toothbrush,7800,24,onlline,winter,middle,female
air cleaner,28700,36,radio,winter,middle,male
hair dryer,14400,60,printing,winter,middle,female
electric toothbrush,18300,300,TV,spring,middle,male
air cleaner,8500,120,onlline,spring,senior,female
hair dryer,8100,4,radio,spring,senior,male
electric toothbrush,10900,14,printing,spring,senior,female
air cleaner,6900,210,TV,summer,senior,male
hair dryer,9500,144,onlline,summer,senior,female
electric toothbrush,11300,126,radio,summer,young,male
air cleaner,14100,225,printing,summer,young,female
hair dryer,13400,15,TV,fall,young,male
electric toothbrush,11400,240,onlline,fall,young,female
air cleaner,8800,54,radio,fall,middle,male
hair dryer,14300,12,printing,fall,middle,male
electric toothbrush,14600,450,TV,winter,middle,male
air cleaner,22300,96,onlline,winter,middle,female
hair dryer,20600,18,radio,winter,senior,male
electric toothbrush,16100,32,printing,winter,senior,female
air cleaner,45800,70,TV,spring,senior,male
hair dryer,29400,48,onlline,spring,senior,female
electric toothbrush,37300,180,radio,spring,senior,male
air cleaner,12000,105,printing,spring,young,female
hair dryer,12100,540,TV,summer,young,female
electric toothbrush,5900,54,onlline,summer,young,female
air cleaner,6700,283.5,radio,summer,young,male
hair dryer,14400,180,printing,summer,middle,female
electric toothbrush,4300,60,TV,fall,middle,male
air cleaner,5000,160,onlline,fall,middle,female
hair dryer,5000,6,radio,fall,middle,male
electric toothbrush,13500,30,printing,fall,senior,female
air cleaner,7700,240,TV,winter,senior,male
hair dryer,7900,24,onlline,winter,senior,female
electric toothbrush,3100,8,radio,winter,senior,male
air cleaner,13200,8,printing,winter,senior,female
hair dryer,14400,450,TV,spring,young,male
electric toothbrush,5300,63,onlline,spring,young,female
air cleaner,3700,60,radio,spring,young,male
hair dryer,14600,60,printing,spring,young,male
electric toothbrush,5900,675,TV,summer,middle,male
air cleaner,6500,90,onlline,summer,middle,female
hair dryer,10900,45,radio,summer,middle,male
electric toothbrush,15100,216,printing,summer,middle,female
air cleaner,4000,360,TV,fall,senior,male
hair dryer,6000,28,onlline,fall,senior,female
electric toothbrush,13200,24,radio,fall,senior,male
air cleaner,19200,72,printing,fall,senior,female
hair dryer,9700,240,TV,winter,senior,female
electric toothbrush,26600,126,onlline,winter,young,female
air cleaner,7100,135,radio,winter,young,male
hair dryer,13900,108,printing,winter,young,female
electric toothbrush,23000,840,TV,spring,young,male
air cleaner,16100,80,onlline,spring,middle,female
hair dryer,14100,50,radio,spring,middle,male
electric toothbrush,10800,16,printing,spring,middle,female
air cleaner,15700,225,TV,summer,middle,male
hair dryer,12000,90,onlline,summer,senior,female
electric toothbrush,32000,9,radio,summer,senior,male
air cleaner,19300,27,printing,summer,senior,female
hair dryer,14900,720,TV,fall,young,male
electric toothbrush,14200,18,onlline,fall,senior,female
air cleaner,19200,168,radio,fall,young,male
hair dryer,13200,224,printing,fall,young,male
electric toothbrush,6700,750,TV,winter,young,male
air cleaner,11000,18,onlline,winter,young,female
hair dryer,11300,200,radio,winter,middle,male
electric toothbrush,12700,200,printing,winter,middle,female
air cleaner,7600,160,TV,spring,middle,male
hair dryer,8500,140,onlline,spring,middle,female
electric toothbrush,27300,60,radio,spring,senior,male
air cleaner,15200,20,printing,spring,senior,female
hair dryer,10200,300,TV,summer,senior,female
electric toothbrush,13000,90,onlline,summer,senior,female
air cleaner,10000,12,radio,summer,senior,male
hair dryer,14200,252,printing,summer,young,female
electric toothbrush,5200,135,TV,fall,young,male
air cleaner,14200,108,onlline,fall,young,female
hair dryer,15700,108,radio,fall,young,male
electric toothbrush,11200,48,printing,fall,middle,female
air cleaner,14700,200,TV,winter,middle,male
hair dryer,11200,14,onlline,winter,middle,female
electric toothbrush,6000,4,radio,winter,middle,male
air cleaner,15800,70,printing,winter,senior,female
hair dryer,8800,420,TV,spring,senior,male
electric toothbrush,8700,48,onlline,spring,senior,female
air cleaner,25400,80,radio,spring,senior,male
hair dryer,14100,18,printing,spring,senior,male
electric toothbrush,5700,405,TV,summer,young,male
air cleaner,14800,18,onlline,summer,young,female
hair dryer,10600,283.5,radio,summer,young,male
electric toothbrush,13400,108,printing,summer,young,female
air cleaner,21500,240,TV,fall,middle,male
hair dryer,8200,20,onlline,fall,middle,female
electric toothbrush,21500,96,radio,fall,middle,male
air cleaner,11900,80,printing,fall,middle,female
hair dryer,12800,100,TV,winter,senior,female
electric toothbrush,18800,120,onlline,winter,senior,female
air cleaner,11500,4,radio,winter,senior,male
hair dryer,13900,40,printing,winter,senior,female
electric toothbrush,12500,180,TV,spring,senior,male
air cleaner,18200,18,onlline,spring,young,female
hair dryer,7000,216,radio,spring,young,male
electric toothbrush,13200,12,printing,spring,young,female
air cleaner,12700,675,TV,summer,young,male
hair dryer,25500,36,onlline,summer,middle,female
electric toothbrush,12700,36,radio,summer,middle,male
air cleaner,11400,18,printing,summer,middle,female
hair dryer,15400,180,TV,fall,middle,male
electric toothbrush,22100,60,onlline,fall,senior,female
air cleaner,12700,160,radio,fall,senior,male
hair dryer,15200,30,printing,fall,senior,male
electric toothbrush,9700,450,TV,winter,senior,male
air cleaner,32800,16,onlline,winter,senior,female
hair dryer,9100,27,radio,winter,young,male
electric toothbrush,10300,168,printing,winter,young,female
air cleaner,12600,735,TV,spring,young,male
hair dryer,21700,9,onlline,spring,young,female
electric toothbrush,3400,128,radio,spring,middle,male
air cleaner,14500,80,printing,spring,middle,female
hair dryer,12800,300,TV,summer,middle,female
electric toothbrush,9400,84,onlline,summer,middle,female
air cleaner,7500,12,radio,summer,senior,male
hair dryer,14300,126,printing,summer,senior,female
electric toothbrush,4500,40,TV,fall,senior,male
air cleaner,11700,12,onlline,fall,senior,female
hair dryer,7400,100,radio,fall,senior,male
electric toothbrush,18200,12,printing,fall,young,female
air cleaner,11600,180,TV,winter,young,male
hair dryer,17000,27,onlline,winter,young,female
electric toothbrush,6500,3,radio,winter,young,male
air cleaner,18200,28,printing,winter,middle,female
hair dryer,16900,1000,TV,spring,middle,male
electric toothbrush,14200,18,onlline,spring,middle,female
air cleaner,24100,16,radio,spring,middle,male
hair dryer,13900,200,printing,spring,senior,male
electric toothbrush,16500,840,TV,summer,senior,male
air cleaner,19800,108,onlline,summer,senior,female
hair dryer,9000,42,radio,summer,senior,male
electric toothbrush,8900,270,printing,summer,senior,female
air cleaner,6200,45,TV,fall,young,male
hair dryer,3800,84,onlline,fall,young,female
electric toothbrush,6400,3,radio,fall,young,male
air cleaner,16000,27,printing,fall,young,female
hair dryer,9500,60,TV,winter,middle,female
electric toothbrush,7200,14,onlline,winter,middle,female
air cleaner,13700,120,radio,winter,middle,male
hair dryer,9700,1100,TV,summer,senior,male
hair dryer,9800,720,TV,winter,senior,male
